time,Pyr_MEAN,Pyr_STD,Lac_MEAN,Lac_STD
0.0,9922.236678305966,685.6810657067431,0.0,1.0
15.0,7175.353333333333,355.70218123218376,110.42099999999999,18.945953684098352
20.0,6486.02,484.8574304885922,128.39476666666667,31.86590679179447
25.0,5763.516666666666,441.7118763779545,135.78433333333334,25.56970817849381
30.0,5182.19,389.4407256566782,135.63066666666666,31.85136036864569
35.0,4607.419999999999,343.4043020988525,140.5786666666667,25.983880009215973
40.0,4160.11,292.1168846540713,137.14056666666667,38.96440806766263
45.0,3734.59,240.57376748099531,132.06406666666666,30.420608281448512
50.0,3356.33,200.27731748752774,128.49030000000002,26.663044358624916
55.0,3011.34,184.5659697777464,127.34960000000001,28.559063224832848
60.0,2700.1800000000003,163.749920305324,123.85959999999999,24.663152590048167
65.0,2417.3966666666665,163.5999469233818,116.45956666666667,24.93208762144344
70.0,2179.7766666666666,161.89015730838412,111.4957,24.96038250448097
75.0,1952.9866666666667,108.96410249863638,104.57443333333333,23.341218637066348
80.0,1761.3333333333333,97.8210127392542,100.10803333333332,25.205143925463574
85.0,1579.2666666666667,96.12473268276656,97.73356666666666,19.779588579223113
90.0,1415.8466666666666,83.31267150519984,94.30333333333334,22.305953495274156
95.0,1266.6566666666668,65.08283516668077,92.44523333333332,25.018142068173912
100.0,1156.0866666666666,66.92655252837498,81.06906666666667,16.47109718061713
105.0,1041.043,64.5426057500005,73.89800000000001,17.635623054771838
110.0,933.7743333333334,55.15269482385548,72.43320000000001,15.125062776729226
115.0,838.8706666666667,41.598916143733035,64.6122,18.37845589732718
120.0,735.9683333333332,48.544523690456934,60.60056666666667,15.93519246709412
125.0,664.224,51.255423088684026,58.43886666666666,14.186607598130472
130.0,595.1486666666667,39.39392676965999,53.949033333333325,9.847750872322743
135.0,548.1913333333333,44.0160582212144,45.30296666666667,5.420399539086885
140.0,488.40166666666664,18.329180487226743,48.37120000000001,10.94336982697743
145.0,431.637,23.317817758100773,44.457233333333335,11.512225540847144
150.0,393.0126666666667,22.124310753859262,42.87356666666667,8.594907223078868
155.0,354.96700000000004,17.6835946289209,36.29683333333333,7.273535872829207
160.0,321.0876666666666,15.724205841101599,30.87986666666667,5.699713047455402
165.0,293.3436666666667,26.262120255861568,32.557966666666665,13.363300712897743
170.0,257.6326666666667,19.948338385272432,26.220966666666666,9.895548007226953
175.0,219.01633333333334,13.117507283525066,23.503966666666667,7.3436382851644675
180.0,208.21233333333336,2.610617998354675,22.66893333333333,5.257028162691668
185.0,176.393,6.642105991325334,19.8307,1.0
190.0,161.65566666666666,7.813185095294573,21.9269,9.066697412509143
195.0,148.82633333333334,6.278091296989332,21.223433333333332,2.9831696068667184
200.0,134.905,5.582757741475074,22.414533333333335,3.4336321313345923
205.0,116.27133333333332,8.237522827484812,11.630440666666667,9.859446818435675
210.0,106.34943333333335,6.893228703831999,15.255083333333333,4.9476555469063666
215.0,93.01956666666668,9.500334631123964,15.593200000000001,3.880713918855653
220.0,83.66996666666667,9.284974339939412,5.7157566666666675,6.524681664620378
225.0,76.88693333333333,1.0063906117076709,3.03759,4.233564004110485
230.0,61.35973333333333,8.200975399507874,10.11086,7.100943584397781
235.0,53.16433333333333,8.905311620787526,7.028613333333333,9.75934553634276
240.0,48.472500000000004,7.461638543912455,7.637439999999999,7.800496013792968
245.0,41.85433333333333,9.149936921276197,4.315497033333333,5.040079876688901
250.0,51.521833333333326,5.262756019742254,4.805806666666667,6.265659930768134
255.0,31.5437,13.294110127797197,4.202955333333334,3.36806649435627
260.0,35.889500000000005,8.615327910764627,3.704476666666667,3.161860276883426
265.0,29.7456,13.352617173797803,3.730699,4.476225940612584
270.0,33.14633333333333,11.414395681039506,4.065557666666667,5.369884039860296
275.0,26.129566666666665,9.90902011771766,3.88397,1.2115748436229603
280.0,24.200666666666667,1.6221870710042454,0.17423523333333332,2.086771761836968
285.0,16.595566666666667,3.224624186371698,0.79712205,4.682890259270882
290.0,16.765433333333334,4.09921562049782,9.268106666666666,3.8536378364648303
295.0,9.534373333333333,13.267147843456534,2.2026966666666663,5.963607338367721
300.0,6.85658,8.349555500282634,2.0736733333333333,6.38686442344233
305.0,15.555866666666667,4.314387697383412,3.9366833333333333,1.7793973565882728
310.0,13.842466666666667,3.3598296926084408,3.613516666666667,5.51836979530489
315.0,3.1061833333333335,10.210399432237375,-4.669853333333333,3.5457138349891313
320.0,13.224303333333332,12.002531620997019,-3.4593400000000005,5.903277799129904
325.0,9.266533333333333,6.191001707586046,1.71507,3.27666471888718
330.0,6.366163333333333,1.9562393617431717,0.6887248666666667,1.4292064512960518
335.0,-0.7672666666666667,14.137353096790548,2.5136866666666666,1.0
340.0,7.304786666666668,4.060563871007737,1.8311606666666667,1.9891359572088916
345.0,7.8693056666666665,9.75490280073699,4.267713333333333,3.2956952332752696
350.0,8.571973333333334,4.994210658365677,0.15757333333333326,3.789273490332062
355.0,3.056354666666666,3.7835780326253787,2.663767,3.938245513302465
360.0,6.855213333333334,8.557081631498752,1.8175553333333336,2.7739357638020987
365.0,0.2548099999999999,3.5640117697196234,-1.2447423333333332,9.015855512523276
370.0,-5.734446666666667,5.434777368230766,2.4829033333333332,4.450999783973633
375.0,-1.9686173333333334,1.4352931941597622,-4.91443,9.423260306756893
380.0,-4.920542333333333,8.495834202758804,0.9364893333333333,5.369764162683621
385.0,-0.47999333333333344,4.763888028221626,-0.5925033333333333,1.9903059554835618
390.0,7.479213333333334,5.106799769966837,-4.51159,3.561239224160601
