Pyr (mM),Lac AUC Mean (A.U.),Lac AUC STD (A.U.)
0.0,68.82840066666667,10.666854042218556
0.8,2713.84304025,377.1963526830985
1.6,8462.570582833334,1465.0076617565826
3.2,9118.820251833333,835.3041624474164
6.4,7843.862606333333,1113.5652600367378
12.8,6192.14250275,1138.2624651185724
25.6,5362.767248,492.0415037008441
40.0,2040.8753121666668,208.29114819679032
