time,Pyr_MEAN,Pyr_STD,Lac_MEAN,Lac_STD
0.0,18137.396291699344,1.0,0.0,1.0
20.0,12481.0,1.0,54.6382,1.0
25.0,11300.5,1.0,59.2402,1.0
30.0,10234.6,1.0,79.1919,1.0
35.0,9369.52,1.0,79.9437,1.0
40.0,8393.24,1.0,88.7883,1.0
45.0,7712.7,1.0,87.7389,1.0
50.0,7018.83,1.0,84.6708,1.0
55.0,6263.86,1.0,93.1834,1.0
60.0,5799.35,1.0,90.2798,1.0
65.0,5305.4,1.0,100.191,1.0
70.0,4807.41,1.0,95.8419,1.0
75.0,4360.1,1.0,89.9446,1.0
80.0,4003.71,1.0,78.0354,1.0
85.0,3628.32,1.0,81.2815,1.0
90.0,3322.81,1.0,85.9262,1.0
95.0,2978.84,1.0,72.0052,1.0
100.0,2739.93,1.0,77.9989,1.0
105.0,2471.81,1.0,73.5802,1.0
110.0,2263.8,1.0,66.3112,1.0
115.0,2042.66,1.0,67.952,1.0
120.0,1865.68,1.0,63.8419,1.0
125.0,1730.15,1.0,64.0501,1.0
130.0,1567.9,1.0,51.781,1.0
135.0,1404.3,1.0,61.9259,1.0
140.0,1292.26,1.0,49.4511,1.0
145.0,1180.67,1.0,47.1657,1.0
150.0,1068.82,1.0,40.6523,1.0
155.0,974.329,1.0,48.0267,1.0
160.0,864.666,1.0,39.0981,1.0
165.0,803.639,1.0,32.1933,1.0
170.0,723.116,1.0,36.8796,1.0
175.0,657.296,1.0,31.2552,1.0
180.0,597.785,1.0,30.1763,1.0
185.0,535.103,1.0,23.3748,1.0
190.0,481.538,1.0,23.5341,1.0
195.0,441.531,1.0,27.8906,1.0
200.0,406.991,1.0,23.818,1.0
205.0,373.079,1.0,19.2147,1.0
210.0,322.362,1.0,16.3604,1.0
215.0,294.138,1.0,26.9844,1.0
220.0,260.906,1.0,23.7011,1.0
225.0,248.915,1.0,19.6811,1.0
230.0,207.606,1.0,15.6553,1.0
235.0,198.602,1.0,12.6484,1.0
240.0,178.663,1.0,17.116,1.0
245.0,167.738,1.0,15.8751,1.0
250.0,152.163,1.0,17.3133,1.0
255.0,129.198,1.0,13.6875,1.0
260.0,114.828,1.0,13.2809,1.0
265.0,99.9661,1.0,13.7841,1.0
270.0,104.295,1.0,8.44708,1.0
275.0,79.2315,1.0,6.40719,1.0
280.0,88.8445,1.0,13.7636,1.0
285.0,75.1242,1.0,1.36656,1.0
290.0,76.4001,1.0,5.98218,1.0
295.0,72.1054,1.0,7.63924,1.0
300.0,53.1179,1.0,7.56998,1.0
305.0,61.7993,1.0,3.6569,1.0
310.0,41.2477,1.0,-2.35836,1.0
315.0,47.43,1.0,4.29041,1.0
320.0,33.3274,1.0,2.47341,1.0
325.0,42.0933,1.0,3.01646,1.0
330.0,35.6622,1.0,2.06245,1.0
335.0,38.9505,1.0,0.00703585,1.0
340.0,36.5543,1.0,1.42486,1.0
345.0,32.453,1.0,5.07571,1.0
350.0,25.0452,1.0,2.28248,1.0
355.0,19.8401,1.0,6.49327,1.0
360.0,16.3102,1.0,1.83561,1.0
365.0,23.2109,1.0,3.37194,1.0
370.0,20.8092,1.0,0.097531,1.0
375.0,13.5952,1.0,1.48499,1.0
380.0,17.9002,1.0,0.847637,1.0
385.0,12.8117,1.0,2.58046,1.0
390.0,12.7099,1.0,-4.21807,1.0
395.0,18.0221,1.0,2.20902,1.0
